Hour,Gas_Price_Gwei,Chosen_Scheme,Adaptive_Cost_USD,MLDSA44_Static_Cost_USD,Falcon512_Static_Cost_USD,Falcon1024_Static_Cost_USD
0,25.84,Falcon-1024,40.83,39.71,29.72,40.83
1,15.76,Falcon-1024,24.9,24.22,18.13,24.9
2,22.4,Falcon-1024,35.39,34.43,25.76,35.39
3,14.46,Falcon-1024,22.84,22.22,16.63,22.84
4,25.9,Falcon-1024,40.93,39.82,29.8,40.93
5,28.04,Falcon-1024,44.31,43.1,32.25,44.31
6,52.11,Falcon-1024,82.33,80.09,59.93,82.33
7,41.56,Falcon-1024,65.67,63.88,47.8,65.67
8,49.33,Falcon-1024,77.95,75.83,56.74,77.95
9,30.06,Falcon-1024,47.5,46.21,34.58,47.5
10,42.05,Falcon-1024,66.45,64.64,48.37,66.45
11,25.71,Falcon-1024,40.63,39.52,29.57,40.63
12,26.81,Falcon-1024,42.37,41.21,30.84,42.37
13,140.0,Falcon-1024,221.22,215.19,161.02,221.22
14,140.0,Falcon-1024,221.22,215.19,161.02,221.22
15,140.0,Falcon-1024,221.22,215.19,161.02,221.22
16,140.0,Falcon-1024,221.22,215.19,161.02,221.22
17,138.24,Falcon-1024,218.44,212.49,159.0,218.44
18,126.02,Falcon-1024,199.13,193.7,144.94,199.13
19,126.97,Falcon-1024,200.63,195.16,146.04,200.63
20,106.58,Falcon-1024,168.41,163.83,122.59,168.41
21,105.59,Falcon-1024,166.85,162.31,121.45,166.85
22,103.68,Falcon-1024,163.82,159.36,119.25,163.82
23,107.5,Falcon-1024,169.87,165.24,123.65,169.87
