Algorithm,Scenario,Gas_Price_Gwei,ETH_Price_USD,Total_Agg_Gas,Tx_Cost_USD,Annual_Cost_USD
ECDSA (secp256k1),Low,15,2000.0,95528,2.87,1506285.5
ECDSA (secp256k1),Baseline,30,3000.0,95528,8.6,4518856.51
ECDSA (secp256k1),High,60,4000.0,95528,22.93,12050284.03
BLS12-381,Low,15,2000.0,100472,3.01,1584242.5
BLS12-381,Baseline,30,3000.0,100472,9.04,4752727.49
BLS12-381,High,60,4000.0,100472,24.11,12673939.97
ML-DSA-44,Low,15,2000.0,512362,15.37,8078924.02
ML-DSA-44,Baseline,30,3000.0,512362,46.11,24236772.05
ML-DSA-44,High,60,4000.0,512362,122.97,64631392.13
ML-DSA-65,Low,15,2000.0,693015,20.79,10927460.52
ML-DSA-65,Baseline,30,3000.0,693015,62.37,32782381.56
ML-DSA-65,High,60,4000.0,693015,166.32,87419684.16
ML-DSA-87,Low,15,2000.0,912241,27.37,14384216.09
ML-DSA-87,Baseline,30,3000.0,912241,82.1,43152648.26
ML-DSA-87,High,60,4000.0,912241,218.94,115073728.7
Falcon-512,Low,15,2000.0,383391,11.5,6045309.29
Falcon-512,Baseline,30,3000.0,383391,34.51,18135927.86
Falcon-512,High,60,4000.0,383391,92.01,48362474.3
Falcon-1024,Low,15,2000.0,622909,18.69,9822029.11
Falcon-1024,Baseline,30,3000.0,622909,56.06,29466087.34
Falcon-1024,High,60,4000.0,622909,149.5,78576232.9
SLH-DSA-SHA2-128s,Low,15,2000.0,1544154,46.32,24348220.27
SLH-DSA-SHA2-128s,Baseline,30,3000.0,1544154,138.97,73044660.82
SLH-DSA-SHA2-128s,High,60,4000.0,1544154,370.6,194785762.18
